CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Name Relations	Paper Relations	Context Type	Concept Relations Type	Pct Common Relations	Num Available	Concept Relation	ID Relation	Num Relations
C0022350	C0030305	"Jaundice, Chronic Idiopathic"	Pancreatitis	798	65210	54											
C0272375	C4016042	Antithrombin III Deficiency	"VENOUS THROMBOSIS, SUSCEPTIBILITY TO"	2016	1240	54											
C0010674	C0266444	Cystic Fibrosis	Congenital absence of vas deferens	49380	85	53											
C2608083	C3489789	"Cholestasis, benign recurrent intrahepatic 2"	"Cholestasis, Progressive Familial Intrahepatic, 2"	53	302	53											
C0376358	C1336839	Malignant neoplasm of prostate	Type 1 Papillary Renal Cell Carcinoma	120279	2737	53											
C2676766	C4272578	"Osteopetrosis, Autosomal Recessive 7"	osteopetrosis - autosomal recessive	53	322	53											
C0015503	C0149871	Factor VII Deficiency	Deep Vein Thrombosis	1829	82283	53											
C0268312	C2608083	Progressive intrahepatic cholestasis	"Cholestasis, benign recurrent intrahepatic 2"	1170	53	53											
C0015523	C0020640	Factor XI Deficiency	Inherited Factor II deficiency	1316	1411	53											
C0021655	C0027819	Insulin Resistance	Neuroblastoma	113459	39783	53											
C0376358	C1704423	Malignant neoplasm of prostate	Milroy Disease	120279	13572	53											
C0078918	C0268494	"Albinism, Oculocutaneous"	Oculocutaneous albinism type 1	1471	53	53											
C0007134	C0403592	Renal Cell Carcinoma	Chronic rejection of renal transplant	47304	9108	53											
C0009691	C0018784	Congenital cataract	Sensorineural Hearing Loss	4934	29379	53											
C0017097	C1302401	Gardner Syndrome	Adenoma of large intestine	1834	3679	53											
C0001080	C0085584	Achondroplasia	Encephalopathies	2697	600000	53											
C0007102	C3469524	Malignant tumor of colon	"PROSTATE CANCER, SUSCEPTIBILITY TO"	85229	3698	53											
C0026760	C0265279	Multiple Epiphyseal Dysplasia	Kniest dysplasia	29049	78	53											
C0024507	C3714756	Majewski Syndrome	Intellectual Disability	482	97825	53											
C1333991	C3554772	Hereditary Non-Polyposis Colon Cancer Type 2	"Colorectal cancer, early onset"	516	1160	53											
C0011860	C0393584	"Diabetes Mellitus, Non-Insulin-Dependent"	Benign Hereditary Chorea	142114	16885	53											
C0031269	C3469522	Peutz-Jeghers Syndrome	"BREAST CANCER, SUSCEPTIBILITY TO"	2377	12696	53											
C0025202	C0085390	melanoma	Li-Fraumeni Syndrome	122636	1216	53											
C0011053	C0037772	Deafness	Spastic Paraplegia	39032	21054	53											
C0751202	C3502110	Cystathionine beta-Synthase Deficiency Disease	"Homocystinuria, Pyridoxine-Responsive"	2301	52	52											
C0019880	C3502110	Homocystinuria	"Homocystinuria, Pyridoxine-Responsive"	2160	52	52											
C0007134	C0011860	Renal Cell Carcinoma	"Diabetes Mellitus, Non-Insulin-Dependent"	47304	142114	52											
C0020615	C1865290	Hypoglycemia	"Hyperinsulinemic hypoglycemia, familial, 3"	45772	55	52											
C0035334	C3550478	Retinitis Pigmentosa	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	10816	10033	52											
C0027341	C0406735	Nail-Patella Syndrome	Hypoplastic enamel-onycholysis-hypohidrosis syndrome	572	5715	52											
C0000768	C1321551	Congenital Abnormality	Shprintzen-Goldberg syndrome	591498	59	52											
C0018051	C2697358	Gonadal Dysgenesis	"46,XY TRUE HERMAPHRODITISM"	13319	122	52											
C0018995	C0086543	Hemochromatosis	Cataract	10363	68182	52											
C0025362	C0795833	Mental Retardation	Kleefstra Syndrome	112283	60	52											
C0004238	C0206062	Atrial Fibrillation	"Lung Diseases, Interstitial"	72805	60977	52											
C1848200	C1848201	"SUBCORTICAL BAND HETEROTOPIA, X-LINKED"	Subcortical Band Heterotopia	51	257	51											
C2750061	C3714580	"Hypokalemic Periodic Paralysis, Type 2"	Hypokalemic periodic paralysis type 1	65	81	51											
C0549463	C4283963	X-Linked Lymphoproliferative Disorder	SH2D1A Deficiency	340694	93	51											
C0020676	C0022735	Hypothyroidism	Klinefelter Syndrome	42860	4232	51											
C0011860	C0035334	"Diabetes Mellitus, Non-Insulin-Dependent"	Retinitis Pigmentosa	142114	10816	51											
C0266444	C1865433	Congenital absence of vas deferens	"VAS DEFERENS, CONGENITAL BILATERAL ABSENCE OF"	85	360	51											
C0162809	C3151356	Kallmann Syndrome	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	855	112283	51											
C0221775	C4016835	Lumbar disc disease	"LUMBAR DISC DISEASE, SUSCEPTIBILITY TO"	1307	51	51											
C0007115	C4016103	Malignant neoplasm of thyroid	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	67377	5965	51											
C0028754	C4017165	Obesity	ASTHMA SUSCEPTIBILITY 2	294455	2270	51											
C0011854	C1864623	"Diabetes Mellitus, Insulin-Dependent"	"DIABETES MELLITUS, TRANSIENT NEONATAL, 3"	92179	144	51											
C0007115	C0151686	Malignant neoplasm of thyroid	Growth retardation	67377	35291	51											
C0031069	C4082167	Familial Mediterranean Fever	"Periodic Fever, Aphthous Stomatitis, Pharyngitis, Adenitis Syndrome"	4127	190	51											
C1563720	C3151356	Kallmann Syndrome 2	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	855	112283	51											
C0003486	C0268335	Aortic Aneurysm	Ehlers-Danlos syndrome type 1	60865	585	51											
C0011847	C0220658	Diabetes	Pfeiffer Syndrome	600000	2199	51											
C0151686	C0376358	Growth retardation	Malignant neoplasm of prostate	35291	120279	51											
C0162309	C1832200	Adrenoleukodystrophy	Peroxisome biogenesis disorders	2255	219	51											
C0085390	C0242379	Li-Fraumeni Syndrome	Malignant neoplasm of lung	1216	261819	51											
C0025362	C0162809	Mental Retardation	Kallmann Syndrome	112283	855	51											
C0271972	C0342287	Thiamine-responsive megaloblastic anemia	Thiamine responsive megaloblastic anemia syndrome	117	50	50											
C0086652	C0268271	Mucopolysaccharidosis type IVB	"Gangliosidosis, Generalized GM1, Type 1"	1271	849	50											
C0268445	C3714580	Normokalemic Periodic Paralysis	Hypokalemic periodic paralysis type 1	1475	81	50											
C2678493	C3888198	BESTROPHINOPATHY	"BESTROPHINOPATHY, AUTOSOMAL RECESSIVE"	57	50	50											
C0677886	C1868358	Epithelial ovarian cancer	"OVARIAN CANCER, EPITHELIAL, SOMATIC"	9462	50	50											
C0027726	C0950122	Nephrotic Syndrome	Frasier Syndrome	21763	156	50											
C0085131	C0086652	Gangliosidosis GM1	Mucopolysaccharidosis type IVB	849	1271	50											
C0023976	C4017089	Long QT Syndrome	"LONG QT SYNDROME 1, RECESSIVE"	9236	50	50											
C0086652	C0268273	Mucopolysaccharidosis type IVB	"Gangliosidosis, Generalized GM1, Type 3"	1271	849	50											
C0150312	C4016033	Present	"NONSMALL CELL LUNG CANCER, RESISTANCE TO TYROSINE KINASE INHIBITOR IN"	600000	983	50											
C0039685	C0241889	Tetralogy of Fallot	Family history	11426	117019	50											
C0029422	C0085758	Osteochondrodysplasias	"Aganglionosis, Colonic"	28883	4776	50											
C0029422	C0432217	Osteochondrodysplasias	Wolcott-Rallison syndrome	28883	91	50											
C0022593	C0432306	Keratosis	Ichthyosis Bullosa of Siemens	26860	56	50											
C0085580	C0340643	Essential Hypertension	Dissection of aorta	31557	24314	50											
C0231303	C0857439	Distress	Pituitary hormone deficiency	115418	18247	50											
C0026846	C1449563	Muscular Atrophy	"Cardiomyopathy, Familial Idiopathic"	22052	21940	50											
C0021364	C0025322	Male infertility	Premature Menopause	45629	1866	50											
C0019569	C0029422	Hirschsprung Disease	Osteochondrodysplasias	4704	28883	50											
C0010054	C0086543	Coronary Arteriosclerosis	Cataract	165082	68182	50											
C0086652	C0268272	Mucopolysaccharidosis type IVB	"Gangliosidosis, Generalized GM1, Type 2"	1271	849	50											
C0751336	C1853926	Distal Muscular Dystrophies	NONAKA MYOPATHY	1008	56	50											
C0010054	C3714756	Coronary Arteriosclerosis	Intellectual Disability	165082	97825	50											
C0007194	C3150682	Hypertrophic Cardiomyopathy	LEFT VENTRICULAR NONCOMPACTION 4	18881	318	50											
C0004238	C0949658	Atrial Fibrillation	"Cardiomyopathy, Hypertrophic, Familial"	72805	1512	50											
C0035334	C1405854	Retinitis Pigmentosa	Retinitis punctata albescens	10816	183	50											
C0011053	C0021655	Deafness	Insulin Resistance	39032	113459	50											
C0001733	C0008533	Afibrinogenemia	Hemophilia B	2381	4899	50											
C0266444	C0403814	Congenital absence of vas deferens	Congenital bilateral aplasia of vas deferens	85	49	49											
C0220743	C0268413	Childhood hypophosphatasia	Adult hypophosphatasia	112	340	49											
C0011860	C1720861	"Diabetes Mellitus, Non-Insulin-Dependent"	"Familial Partial Lipodystrophy, Type 3"	142114	329	49											
C1840254	C1869116	"ATOPY, SUSCEPTIBILITY TO (finding)"	"ASTHMA, SUSCEPTIBILITY TO (finding)"	69	360	49											
C0019569	C0025269	Hirschsprung Disease	Multiple Endocrine Neoplasia Type 2b	4704	813	49											
C1864903	C1864948	Hyperinsulinemic hypoglycemia	"Hyperinsulinemic Hypoglycemia, Familial, 4"	1842	49	49											
C0025269	C0085758	Multiple Endocrine Neoplasia Type 2b	"Aganglionosis, Colonic"	813	4776	49											
C0472792	C3150343	Hemolytic anemia due to hexokinase deficiency	"HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO HEXOKINASE DEFICIENCY"	121	49	49											
C0398563	C3150343	Deficiency of hexokinase	"HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO HEXOKINASE DEFICIENCY"	376	49	49											
C0854723	C2745945	Retinal Dystrophies	Juvenile-Onset Vitelliform Macular Dystrophy	9449	497	49											
C0549473	C4016103	Thyroid carcinoma	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	68555	5965	49											
C0025286	C2750850	Meningioma	GLIOMA SUSCEPTIBILITY 1	22162	939	49											
C0752105	C1847640	"Parkinsonism, Juvenile"	KUFOR-RAKEB SYNDROME	73667	68	49											
C0340493	C2751898	Paroxysmal familial ventricular fibrillation	"Ventricular Fibrillation, Paroxysmal Familial, 1"	106	49	49											
C0155017	C0948896	"Color Blindness, Blue"	Primary hypogonadism	4239	17394	49											
C0339510	C0854723	Vitelliform Macular Dystrophy	Retinal Dystrophies	497	9449	49											
C0158646	C1837213	Cleft palate with cleft lip	"OROFACIAL CLEFT 6, SUSCEPTIBILITY TO"	15183	53	49											
C0085786	C0086438	Hamman-Rich syndrome	Hypogammaglobulinemia	42650	7954	49											
C0000889	C3714756	Acanthosis Nigricans	Intellectual Disability	2320	97825	49											
C0002878	C3150343	"Anemia, Hemolytic"	"HEMOLYTIC ANEMIA, NONSPHEROCYTIC, DUE TO HEXOKINASE DEFICIENCY"	74976	49	49											
C0376358	C1868135	Malignant neoplasm of prostate	Lower total cholesterol	120279	19613	49											
C0020538	C0235831	Hypertensive disease	Renal Cell Dysplasia	480148	602	49											
C0036391	C0220658	Schwartz-Jampel Syndrome	Pfeiffer Syndrome	28949	2199	49											
C0020538	C0542519	Hypertensive disease	Congenital absence of kidney	480148	666	49											
C0553720	C2675192	Spherocytosis	"Spherocytosis, Type 5"	2848	49	49											
C0006142	C0279000	Malignant neoplasm of breast	Liver and Intrahepatic Biliary Tract Carcinoma	309961	5595	49											
C0024796	C4016059	Marfan Syndrome	"MARFAN SYNDROME, AUTOSOMAL RECESSIVE"	7116	49	49											
C0028326	C1704423	Noonan Syndrome	Milroy Disease	2113	13572	49											
C0030567	C0086543	Parkinson Disease	Cataract	73702	68182	49											
C0079153	C0079295	"Hyperkeratosis, Epidermolytic"	Epidermolysis Bullosa Herpetiformis Dowling-Meara	578	831	48											
C0079153	C0079298	"Hyperkeratosis, Epidermolytic"	Epidermolysis Bullosa Simplex	578	826	48											
C0079153	C0080333	"Hyperkeratosis, Epidermolytic"	Weber-Cockayne Syndrome	578	831	48											
C0268412	C0268413	Infantile hypophosphatasia	Adult hypophosphatasia	155	340	48											
C0079153	C0079299	"Hyperkeratosis, Epidermolytic"	Epidermolysis Bullosa Simplex Kobner	578	826	48											
C0085110	C0376358	Severe Combined Immunodeficiency	Malignant neoplasm of prostate	7990	120279	48											
C0029422	C0220658	Osteochondrodysplasias	Pfeiffer Syndrome	28883	2199	48											
C0024899	C0029422	Mastocytosis	Osteochondrodysplasias	6995	28883	48											
C0020459	C1865290	Hyperinsulinism	"Hyperinsulinemic hypoglycemia, familial, 3"	81647	55	48											
C0024796	C4016055	Marfan Syndrome	"MARFAN SYNDROME, ATYPICAL"	7116	48	48											
C0027726	C1836876	Nephrotic Syndrome	Pierson syndrome	21763	59	48											
C0007115	C1833930	Malignant neoplasm of thyroid	"PHEOCHROMOCYTOMA, SOMATIC"	67377	236	48											
C0026010	C1864720	Microphthalmos	"MICROPHTHALMIA, ISOLATED 2"	2228	138	48											
C0017638	C0431109	Glioma	Choroid Plexus Carcinoma	87189	308	48											
C0795953	C3151356	MASA SYNDROME	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	56	112283	48											
C0376358	C2931456	Malignant neoplasm of prostate	"Prostate cancer, familial"	120279	48	48											
C0015503	C0042487	Factor VII Deficiency	Venous Thrombosis	1829	78381	48											
C0079154	C1832550	Congenital Nonbullous Ichthyosiform Erythroderma	"Lamellar ichthyosis, type 2"	1097	48	48											
C0035828	C4017089	Romano-Ward Syndrome	"LONG QT SYNDROME 1, RECESSIVE"	345	50	48											
C0002395	C4015778	Alzheimer's Disease	ALPHA-2-MACROGLOBULIN POLYMORPHISM	139725	93	48											
C0017668	C0268747	Focal glomerulosclerosis	Diffuse mesangial sclerosis	7182	171	48											
C0024796	C0034089	Marfan Syndrome	Pulmonary Valve Stenosis	7116	13326	48											
C0007194	C3150690	Hypertrophic Cardiomyopathy	LEFT VENTRICULAR NONCOMPACTION 5	18881	315	48											
C0021655	C3887645	Insulin Resistance	Job Syndrome	113459	2154	48											
C0268747	C0950121	Diffuse mesangial sclerosis	Denys-Drash Syndrome	171	294	47											
C0020443	C0270612	Hypercholesterolemia	Leukoencephalopathies	42411	29481	47											
C0023931	C0268335	Lobstein's Disease	Ehlers-Danlos syndrome type 1	5402	585	47											
C0268146	C3536827	Glucose-6-phosphate transport defect	Glycogenosis with glucoaminophosphaturia	47	6868	47											
C0029434	C0268335	Osteogenesis Imperfecta	Ehlers-Danlos syndrome type 1	5398	585	47											
C0024507	C3553943	Majewski Syndrome	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	482	168719	47											
C0029925	C0238462	Ovarian Carcinoma	Medullary carcinoma of thyroid	34444	7190	47											
C0854723	C1405854	Retinal Dystrophies	Retinitis punctata albescens	9449	183	47											
C0747102	C3489793	Ovarian failure	"46,XY Sex Reversal 3"	7254	4064	47											
C0014859	C0162872	Esophageal Neoplasms	"Aortic Aneurysm, Thoracic"	53754	19227	47											
C0270851	C4281785	Benign neonatal epilepsy	Childhood Absence Epilepsy	570	8098	47											
C0014547	C0027794	"Epilepsies, Partial"	Neural Tube Defects	22861	29820	47											
C0028754	C3489793	Obesity	"46,XY Sex Reversal 3"	294455	4064	47											
C0079541	C0338503	Holoprosencephaly	Septo-Optic Dysplasia	2050	461	47											
C0282529	C3714756	"Chondrodysplasia Punctata, Rhizomelic"	Intellectual Disability	297	97825	47											
C0007193	C0030567	"Cardiomyopathy, Dilated"	Parkinson Disease	21868	73702	47											
C0020459	C0030567	Hyperinsulinism	Parkinson Disease	81647	73702	47											
C0023976	C1859062	Long QT Syndrome	LONG QT SYNDROME 3	9236	46	46											
C0221757	C0272375	alpha 1-Antitrypsin Deficiency	Antithrombin III Deficiency	4551	2016	46											
